"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that binary data is returned if an APIC frame exists.","1","Extract APIC frame data when present","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestAlbumArtExtraction","Metadata Extraction","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: Start ambient music.
        Expectation: Finds files and starts a daemon thread.
        ","1","Find MP3s in folder and start thread","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestAmbientMusic","Ambient Mode","",""
"
        Scenario: play_song_immediately is called.
        Expectation: self.immediate_playback is True inside the critical section.
        ","2","Sets immediate_playback flag during execution","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestImmediatePlayback","Playback Controls","",""
"","0","Remove citation brackets and whitespace","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestCleanGenre","Data Cleaning","",""
"Verify that specific shorthand aliases map correctly.","0","Map specific aliases like x-mas and alt rock","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","Handle empty or non-string inputs","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestCleanGenre","Data Cleaning","",""
"Verify that input is trimmed and lowercased before mapping.","0","Handle whitespace and casing","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: tag_mp3 called with info.
        Expectation: EasyID3 opened, fields set, saved.
        ","0","Apply metadata to MP3 file","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestTagging","File Operations","",""
"
        Scenario: File has no ID3 tags yet.
        Expectation: ID3() constructor fails, so it instantiates empty ID3(), adds tag, saves.
        ","0","Handle ID3NoHeaderError (create new tags)","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestEmbedding","File Operations","",""
"
        Scenario: Pop next song.
        Expectation: Song is returned and removed from the list.
        ","0","Correctly remove song from queue","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestQueuePriority","Queue Management","",""
"Verify that specific shorthand aliases map correctly.","0","Map specific aliases like x-mas and alt rock","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","0","Parse filename if ID3 fails","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestMetadataReader","File System","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: Items might lack the 'source' key.
        Expectation: .get() returns None, which != 'user', so it treats as non-user.
        ","0","Handle missing source keys safely","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestPlaylistIndexing","Playlist Logic","",""
"","1","Detect required columns case-insensitively","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestCSVProcessing","Batch Processing","",""
"
        Scenario: Wikipedia raises an error (page not found or ambiguous).
        Expectation: Returns None gracefully.
        ","1","Handle PageError and DisambiguationError","tests","Mon Dec 08 20:27:40 UTC 2025","broken","Mon Dec 08 20:27:40 UTC 2025","TestFetchGenre","Wikipedia Integration","",""
"Verify that standard genres map to their defined main categories.","1","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: User picks are at the top, followed by bot picks.
        Expectation: Returns the index of the first non-user item.
        ","0","Find index when user picks are at the start","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestPlaylistIndexing","Playlist Logic","",""
"","0","test_pick_question_success","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestQuestionSelection","Logic","",""
"
        Scenario: Valid MP3 exists.
        Expectation: ID3 tags are read and structured correctly.
        ","1","Parse metadata from valid MP3 file","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestGetMp3Files","File System Scanning","",""
"","0","Remove video suffixes (Official Video, etc)","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestSanitization","String Processing","",""
"Verify playlists are empty and locks are ready.","0","Verify initial attributes","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestPlayerInit","Core Logic","",""
"","0","Remove feats, parens, and accents","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestNormalization","Data Cleaning","",""
"","0","test_emoji_mapping","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestVisuals","Visuals","",""
"Verify returns False if ABBA is not strictly in the list.","0","Return False when ABBA is absent","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"Verify returns False if ABBA is not strictly in the list.","0","Return False when ABBA is absent","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"","0","Return None for artist if separator missing","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestArtistParsing","String Processing","",""
"
        Scenario: Page exists, but infobox has no 'Genre' field.
        Expectation: Returns None.
        ","0","Return None if 'Genre' th is missing","tests","Mon Dec 08 20:27:40 UTC 2025","broken","Mon Dec 08 20:27:40 UTC 2025","TestFetchGenre","Wikipedia Integration","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: CSV has 1 row, but file does not exist on disk.
        Expectation: Skips processing for that row.
        ","0","Process Loop ignores missing files","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestCSVProcessing","Batch Processing","",""
"Verify that input is trimmed and lowercased before mapping.","0","Handle whitespace and casing","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: Songs exist in both Primary and Default playlists.
        Expectation: _get_next_song returns Primary song first.
        ","0","Primary playlist takes precedence over Default","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestQueuePriority","Queue Management","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","2","test_yes_callback","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestConfirmDialog","Dialogs","",""
"Verify various delimiters are normalized to semicolons.","0","Split on commas, pipes, slashes, and 'and'","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestCleanGenre","Data Cleaning","",""
"","0","Remove feats, parens, and accents","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestNormalization","Data Cleaning","",""
"","0","Handle missing release ID","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestCAAProvider","Artwork Providers","",""
"","0","Format seconds to MM:SS","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestFormatters","Utilities","",""
"
        Scenario: Image URL is valid.
        Expectation: Download image -> Embed APIC -> Save.
        ","0","Download and embed APIC frame","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestEmbedding","File Operations","",""
"","0","Save final canvas to disk","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestA5Creation","A5 Layout","",""
"","1","Raise error if columns missing","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestCSVProcessing","Batch Processing","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: 'song.mp3' exists and has ID3 tags.
        Expectation: Row written: ['song.mp3', 'My Title', 'My Artist']
        ","0","Extract Title and Artist from valid MP3","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestMP3Metadata","Metadata","",""
"
        Scenario: DataFrame has 3 rows: one with genre, two without.
        Expectation: fetch_genre called only for rows with NaN genres.
        ","0","Only fill missing rows","tests","Mon Dec 08 20:27:40 UTC 2025","broken","Mon Dec 08 20:27:40 UTC 2025","TestFillMissingGenres","Data Processing","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","1","test_set_artist_filter","tests","Mon Dec 08 20:27:39 UTC 2025","failed","Mon Dec 08 20:27:39 UTC 2025","TestArtistFilter","Filtering System","",""
"
        Scenario: Truetype font file is missing (OSError).
        Expectation: Fallback to ImageFont.load_default().
        ","0","Fallback to default font on OSError","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestA5Creation","A5 Layout","",""
"Verify returns True if ABBA is present in any casing.","0","Detect ABBA in artist list (Case Insensitive)","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"
        Scenario: Artist tag is 'Queen / David Bowie'.
        Expectation: Parsed into ['Queen', 'David Bowie'].
        ","2","Split multiple artists by separators","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestGetMp3Files","File System Scanning","",""
"
        Scenario: 1 item in playlist. File exists (simulated download).
        Expectation: Sanitization -> File Check -> Tagging.
        ","0","Process playlist entries and tag files","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestDownloadWorkflow","Workflow","",""
"","0","Low score for different songs","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestScoring","Matching Logic","",""
"
        Scenario: Two image paths provided.
        Expectation: Both opened, rotated 180, resized, and pasted onto canvas.
        ","0","Open, rotate, resize, and paste inputs","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestA5Creation","A5 Layout","",""
"","0","Format seconds to MM:SS","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestFormatters","Utilities","",""
"","0","Remove duplicate genres while preserving order","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestCleanGenre","Data Cleaning","",""
"Verify that input is trimmed and lowercased before mapping.","0","Handle whitespace and casing","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"
        Scenario: Text bounding box is 100x20. Center is (500, 500).
        Expectation: Top-left x = 500 - (100/2) = 450.
                     Top-left y = 500 - (20/2) = 490.
        ","0","Calculate centered position correctly","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestTextDrawing","Graphics Utils","",""
"
        Scenario: write_genre_tag called.
        Expectation: TCON frame added and saved.
        ","0","Write TCON frame to ID3","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestEmbedding","File Operations","",""
"Verify returns True if ABBA is present in any casing.","0","Detect ABBA in artist list (Case Insensitive)","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"
        Scenario: Run the internal loop method directly.
        Expectation: Plays sound on AMBIENT channel.
        ","1","Ambient loop plays random file","tests","Mon Dec 08 20:27:39 UTC 2025","failed","Mon Dec 08 20:27:39 UTC 2025","TestAmbientMusic","Ambient Mode","",""
"","0","Format seconds to MM:SS","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestFormatters","Utilities","",""
"","2","test_get_data_valid","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestCsvParsing","Data Ingestion","",""
"
        Scenario: MutagenFile raises exception.
        Expectation: Fallback to pygame.mixer.Sound.get_length().
        ","1","Use pygame duration if Mutagen fails","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestDuration","Metadata","",""
"
        Scenario: All items in playlist are from 'user'.
        Expectation: Returns length of playlist (append to end).
        ","0","Return list length when all items are user picks","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestPlaylistIndexing","Playlist Logic","",""
"","0","Remove video suffixes (Official Video, etc)","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestSanitization","String Processing","",""
"","0","Remove feats, parens, and accents","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestNormalization","Data Cleaning","",""
"","0","Prevent selecting already played songs","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestSongSelection","User Interaction","",""
"","0","Handle empty or None inputs","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestNormalization","Data Cleaning","",""
"Verify returns None if no tags have FrameID == 'APIC'.","0","Return None when no APIC frame exists","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestAlbumArtExtraction","Metadata Extraction","",""
"
        Scenario: song_counter is 5.
        Expectation: Returns song from Special playlist, even if Primary exists.
        ","0","Special playlist triggers on 5th song","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestQueuePriority","Queue Management","",""
"
        Scenario: iTunes API returns a result with artwork.
        Expectation: Returns high-res (600x600) URL.
        ","0","Parse iTunes JSON response correctly","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestItunesProvider","Artwork Providers","",""
"","0","Split Artist - Title correctly","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestArtistParsing","String Processing","",""
"
        Scenario: process_file is called.
        Expectation: Reads input, calls filler, writes to output.
        ","0","Read CSV, process, and write CSV","tests","Mon Dec 08 20:27:40 UTC 2025","broken","Mon Dec 08 20:27:40 UTC 2025","TestProcessFile","Workflow","",""
"Verify that any genre not in the mapping returns 'Pop'.","0","Unknown genres default to Pop","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify returns False if ABBA is not strictly in the list.","0","Return False when ABBA is absent","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"
        Scenario: Playlist is empty.
        Expectation: Returns 0.
        ","0","Handle empty playlist gracefully","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestPlaylistIndexing","Playlist Logic","",""
"Verify various delimiters are normalized to semicolons.","0","Split on commas, pipes, slashes, and 'and'","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestCleanGenre","Data Cleaning","",""
"
        Scenario: Wikipedia page exists and has a 'Genre' row in the infobox.
        Expectation: Returns cleaned genre string.
        ","0","Parse genre from Infobox","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestFetchGenre","Wikipedia Integration","",""
"","0","Interleave Primary and Default playlists","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestUpcomingSongsDisplay","Playlist Display Logic","",""
"","0","Process .MP3 extension same as .mp3","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestMP3Metadata","Metadata","",""
"","0","Handle empty player gracefully","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestUpcomingSongsDisplay","Playlist Display Logic","",""
"Verify that specific shorthand aliases map correctly.","0","Map specific aliases like x-mas and alt rock","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify returns False if ABBA is not strictly in the list.","0","Return False when ABBA is absent","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"","0","Ensure Title Case and strip separators","tests","Mon Dec 08 20:27:38 UTC 2025","passed","Mon Dec 08 20:27:38 UTC 2025","TestSanitization","String Processing","",""
"","0","Remove feats, parens, and accents","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestNormalization","Data Cleaning","",""
"Verify returns True if ABBA is present in any casing.","0","Detect ABBA in artist list (Case Insensitive)","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestIsAbbaSong","Helper Logic","",""
"
        Scenario: 'bad.mp3' causes EasyID3 to raise Exception.
        Expectation: Row written: ['bad.mp3', '', ''] (empty metadata).
        ","0","Fallback gracefully on corrupt/missing tags","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestMP3Metadata","Metadata","",""
"","0","Draw middle divider line","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestA5Creation","A5 Layout","",""
"
        Scenario: MB search finds recording -> release. CAA has image.
        Expectation: Returns CAA URL.
        ","0","Navigate MBID -> Release -> Cover Art","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestCAAProvider","Artwork Providers","",""
"Verify various delimiters are normalized to semicolons.","0","Split on commas, pipes, slashes, and 'and'","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestCleanGenre","Data Cleaning","",""
"
        Scenario: 1st provider fails (returns None), 2nd succeeds.
        Expectation: Loop breaks after 2nd provider.
        ","0","Provider Chain Fallback","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestCSVProcessing","Batch Processing","",""
"
        Scenario: MusicBrainz returns valid JSON with tags.
        Expectation: Returns the most frequent tag.
        ","0","Extract genre from valid MB response","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestMusicBrainz","Metadata","",""
"Verify that input is trimmed and lowercased before mapping.","0","Handle whitespace and casing","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"Verify that standard genres map to their defined main categories.","0","Map known genres to canonical categories","tests","Mon Dec 08 20:27:40 UTC 2025","passed","Mon Dec 08 20:27:40 UTC 2025","TestGenreNormalization","Data Normalization","",""
"","2","Load filenames from JSON","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestDataLoading","Data Management","",""
"
        Scenario: Call play_song_immediately.
        Expectation: Sets flags, loads music, plays, and resets flags.
        ","102","Play song immediately stops current music","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestImmediatePlayback","Playback Controls","",""
"","0","Remove feats, parens, and accents","tests","Mon Dec 08 20:27:39 UTC 2025","broken","Mon Dec 08 20:27:39 UTC 2025","TestNormalization","Data Cleaning","",""
"
        Scenario: Directory has no files.
        Expectation: CSV created with just the header row.
        ","0","Write only headers if directory is empty","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestDirectoryScanning","File System","",""
"","0","Handle corrupt MP3 gracefully","tests","Mon Dec 08 20:27:38 UTC 2025","broken","Mon Dec 08 20:27:38 UTC 2025","TestTagging","File Operations","",""
"Verify returns True if ABBA is present in any casing.","0","Detect ABBA in artist list (Case Insensitive)","tests","Mon Dec 08 20:27:39 UTC 2025","passed","Mon Dec 08 20:27:39 UTC 2025","TestIsAbbaSong","Helper Logic","",""
